time,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
0,20849,10,0,0,0,0,0,0,0
1,20849,10,0,0,0,0,0,0,0
2,20849,10,0,0,0,0,0,0,0
3,20849,10,0,0,0,0,0,0,0
4,20849,10,0,0,0,0,0,0,0
5,20849,10,0,0,0,0,0,0,0
6,20849,10,0,0,0,0,0,0,0
7,20849,10,0,0,0,0,0,0,0
8,20849,10,0,0,0,0,0,0,0
9,20849,10,0,0,0,0,0,0,0
10,20849,10,0,0,0,0,0,0,0
11,20849,10,0,0,0,0,0,0,0
12,20849,10,0,0,0,0,0,0,0
13,20849,10,0,0,0,0,0,0,0
14,20849,10,0,0,0,0,0,0,0
15,20849,10,0,0,0,0,0,0,0
16,20849,10,0,0,0,0,0,0,0
17,20849,10,0,0,0,0,0,0,0
18,20849,10,0,0,0,0,0,0,0
19,20849,10,0,0,0,0,0,0,0
20,20849,10,0,0,0,0,0,0,0
21,20849,10,0,0,0,0,0,0,0
22,20849,10,0,0,0,0,0,0,0
23,20849,10,0,0,0,0,0,0,0
24,20849,10,0,0,0,0,0,0,0
25,20849,10,0,0,0,0,0,0,0
26,20849,10,0,0,0,0,0,0,0
27,20849,10,0,0,0,0,0,0,0
28,20849,10,0,0,0,0,0,0,0
29,20849,10,0,0,0,0,0,0,0
30,20849,10,0,0,0,0,0,0,0
31,20849,10,0,0,0,0,0,0,0
32,20849,10,0,0,0,0,0,0,0
33,20849,10,0,0,0,0,0,0,0
34,20849,10,0,0,0,0,0,0,0
35,20849,10,0,0,0,0,0,0,0
36,20849,10,0,0,0,0,0,0,0
37,20849,10,0,0,0,0,0,0,0
38,20849,10,0,0,0,0,0,0,0
39,20849,10,0,0,0,0,0,0,0
40,20849,10,0,0,0,0,0,0,0
41,20849,10,0,0,0,0,0,0,0
42,20849,10,0,0,0,0,0,0,0
43,20849,10,0,0,0,0,0,0,0
44,20849,10,0,0,0,0,0,0,0
45,20849,10,0,0,0,0,0,0,0
46,20849,10,0,0,0,0,0,0,0
47,20849,10,0,0,0,0,0,0,0
48,20849,10,0,0,0,0,0,0,0
49,20849,10,0,0,0,0,0,0,0
50,20849,10,0,0,0,0,0,0,0
51,20849,10,0,0,0,0,0,0,0
52,20849,10,0,0,0,0,0,0,0
53,20849,10,0,0,0,0,0,0,0
54,20849,10,0,0,0,0,0,0,0
55,20849,10,0,0,0,0,0,0,0
56,20849,10,0,0,0,0,0,0,0
57,20849,10,0,0,0,0,0,0,0
58,20849,10,0,0,0,0,0,0,0
59,20849,10,0,0,0,0,0,0,0
60,20849,10,0,0,0,0,0,0,0
61,20849,10,0,0,0,0,0,0,0
62,20849,10,0,0,0,0,0,0,0
63,20849,10,0,0,0,0,0,0,0
64,20849,10,0,0,0,0,0,0,0
65,20849,10,0,0,0,0,0,0,0
66,20849,10,0,0,0,0,0,0,0
67,20849,10,0,0,0,0,0,0,0
68,20849,10,0,0,0,0,0,0,0
69,20849,10,0,0,0,0,0,0,0
70,20849,10,0,0,0,0,0,0,0
71,20849,10,0,0,0,0,0,0,0
72,20849,10,0,0,0,0,0,0,0
73,20849,10,0,0,0,0,0,0,0
74,20849,10,0,0,0,0,0,0,0
75,20849,10,0,0,0,0,0,0,0
76,20849,10,0,0,0,0,0,0,0
77,20849,10,0,0,0,0,0,0,0
78,20849,10,0,0,0,0,0,0,0
79,20849,10,0,0,0,0,0,0,0
80,20849,10,0,0,0,0,0,0,0
81,20849,10,0,0,0,0,0,0,0
82,20849,10,0,0,0,0,0,0,0
83,20849,10,0,0,0,0,0,0,0
84,20849,10,0,0,0,0,0,0,0
85,20849,10,0,0,0,0,0,0,0
86,20849,10,0,0,0,0,0,0,0
87,20849,10,0,0,0,0,0,0,0
88,20849,10,0,0,0,0,0,0,0
89,20849,10,0,0,0,0,0,0,0
90,20849,10,0,0,0,0,0,0,0
91,20849,10,0,0,0,0,0,0,0
92,20849,10,0,0,0,0,0,0,0
93,20849,10,0,0,0,0,0,0,0
94,20849,10,0,0,0,0,0,0,0
95,20849,10,0,0,0,0,0,0,0
96,20849,10,0,0,0,0,0,0,0
97,20849,10,0,0,0,0,0,0,0
98,20849,10,0,0,0,0,0,0,0
99,20849,10,0,0,0,0,0,0,0
100,20849,10,0,0,0,0,0,0,0
101,20849,10,0,0,0,0,0,0,0
102,20849,10,0,0,0,0,0,0,0
103,20849,10,0,0,0,0,0,0,0
104,20849,10,0,0,0,0,0,0,0
105,20849,10,0,0,0,0,0,0,0
106,20849,10,0,0,0,0,0,0,0
107,20849,10,0,0,0,0,0,0,0
108,20849,10,0,0,0,0,0,0,0
109,20849,10,0,0,0,0,0,0,0
110,20849,10,0,0,0,0,0,0,0
111,20849,10,0,0,0,0,0,0,0
112,20849,10,0,0,0,0,0,0,0
113,20849,10,0,0,0,0,0,0,0
114,20849,10,0,0,0,0,0,0,0
115,20849,10,0,0,0,0,0,0,0
116,20849,10,0,0,0,0,0,0,0
117,20849,10,0,0,0,0,0,0,0
118,20849,10,0,0,0,0,0,0,0
119,20849,10,0,0,0,0,0,0,0
120,20849,10,0,0,0,0,0,0,0
121,20849,10,0,0,0,0,0,0,0
122,20849,10,0,0,0,0,0,0,0
123,20849,10,0,0,0,0,0,0,0
124,20849,10,0,0,0,0,0,0,0
125,20849,10,0,0,0,0,0,0,0
126,20849,10,0,0,0,0,0,0,0
127,20849,10,0,0,0,0,0,0,0
128,20849,10,0,0,0,0,0,0,0
129,20849,10,0,0,0,0,0,0,0
130,20849,10,0,0,0,0,0,0,0
131,20849,10,0,0,0,0,0,0,0
132,20849,10,0,0,0,0,0,0,0
133,20849,10,0,0,0,0,0,0,0
134,20849,10,0,0,0,0,0,0,0
135,20849,10,0,0,0,0,0,0,0
136,20849,10,0,0,0,0,0,0,0
137,20849,10,0,0,0,0,0,0,0
138,20849,10,0,0,0,0,0,0,0
139,20849,10,0,0,0,0,0,0,0
140,20849,10,0,0,0,0,0,0,0
141,20849,10,0,0,0,0,0,0,0
142,20849,10,0,0,0,0,0,0,0
143,20849,10,0,0,0,0,0,0,0
144,20849,10,0,0,0,0,0,0,0
145,20849,10,0,0,0,0,0,0,0
146,20849,10,0,0,0,0,0,0,0
147,20849,10,0,0,0,0,0,0,0
148,20849,10,0,0,0,0,0,0,0
149,20849,10,0,0,0,0,0,0,0
150,20849,10,0,0,0,0,0,0,0
151,20849,10,0,0,0,0,0,0,0
152,20849,10,0,0,0,0,0,0,0
153,20849,10,0,0,0,0,0,0,0
154,20849,10,0,0,0,0,0,0,0
155,20849,10,0,0,0,0,0,0,0
156,20849,10,0,0,0,0,0,0,0
157,20849,10,0,0,0,0,0,0,0
158,20849,10,0,0,0,0,0,0,0
159,20849,10,0,0,0,0,0,0,0
160,20849,10,0,0,0,0,0,0,0
161,20849,10,0,0,0,0,0,0,0
162,20849,10,0,0,0,0,0,0,0
163,20849,10,0,0,0,0,0,0,0
164,20849,10,0,0,0,0,0,0,0
165,20849,10,0,0,0,0,0,0,0
166,20849,10,0,0,0,0,0,0,0
167,20849,10,0,0,0,0,0,0,0
168,20849,10,0,0,0,0,0,0,0
169,20849,10,0,0,0,0,0,0,0
170,20849,10,0,0,0,0,0,0,0
171,20849,10,0,0,0,0,0,0,0
172,20849,10,0,0,0,0,0,0,0
173,20849,10,0,0,0,0,0,0,0
174,20849,10,0,0,0,0,0,0,0
175,20849,10,0,0,0,0,0,0,0
176,20849,10,0,0,0,0,0,0,0
177,20849,10,0,0,0,0,0,0,0
178,20849,10,0,0,0,0,0,0,0
179,20849,10,0,0,0,0,0,0,0
180,20849,10,0,0,0,0,0,0,0
181,20849,10,0,0,0,0,0,0,0
182,20849,10,0,0,0,0,0,0,0
183,20849,10,0,0,0,0,0,0,0
184,20849,10,0,0,0,0,0,0,0
185,20849,10,0,0,0,0,0,0,0
186,20849,10,0,0,0,0,0,0,0
187,20849,10,0,0,0,0,0,0,0
188,20849,10,0,0,0,0,0,0,0
189,20849,10,0,0,0,0,0,0,0
190,20849,10,0,0,0,0,0,0,0
191,20849,10,0,0,0,0,0,0,0
192,20849,10,0,0,0,0,0,0,0
193,20849,10,0,0,0,0,0,0,0
194,20849,10,0,0,0,0,0,0,0
195,20849,10,0,0,0,0,0,0,0
196,20849,10,0,0,0,0,0,0,0
197,20849,10,0,0,0,0,0,0,0
198,20849,10,0,0,0,0,0,0,0
199,20849,10,0,0,0,0,0,0,0
200,20849,10,0,0,0,0,0,0,0
201,20849,10,0,0,0,0,0,0,0
202,20849,10,0,0,0,0,0,0,0
203,20849,10,0,0,0,0,0,0,0
204,20849,10,0,0,0,0,0,0,0
205,20849,10,0,0,0,0,0,0,0
206,20849,10,0,0,0,0,0,0,0
207,20849,10,0,0,0,0,0,0,0
208,20849,10,0,0,0,0,0,0,0
209,20849,10,0,0,0,0,0,0,0
210,20849,10,0,0,0,0,0,0,0
211,20849,10,0,0,0,0,0,0,0
212,20849,10,0,0,0,0,0,0,0
213,20849,10,0,0,0,0,0,0,0
214,20849,10,0,0,0,0,0,0,0
215,20849,10,0,0,0,0,0,0,0
216,20849,10,0,0,0,0,0,0,0
217,20849,10,0,0,0,0,0,0,0
218,20849,10,0,0,0,0,0,0,0
219,20849,10,0,0,0,0,0,0,0
220,20849,10,0,0,0,0,0,0,0
221,20849,10,0,0,0,0,0,0,0
222,20849,10,0,0,0,0,0,0,0
223,20849,10,0,0,0,0,0,0,0
224,20849,10,0,0,0,0,0,0,0
225,20849,10,0,0,0,0,0,0,0
226,20849,10,0,0,0,0,0,0,0
227,20849,10,0,0,0,0,0,0,0
228,20849,10,0,0,0,0,0,0,0
229,20849,10,0,0,0,0,0,0,0
230,20849,10,0,0,0,0,0,0,0
231,20849,10,0,0,0,0,0,0,0
232,20849,10,0,0,0,0,0,0,0
233,20849,10,0,0,0,0,0,0,0
234,20849,10,0,0,0,0,0,0,0
235,20849,10,0,0,0,0,0,0,0
